"TRM", "EED - Y", "VA_1", "VA_2", "VA_3", "PM_1", "PM_2", "PM_3"
4151.55,6.92,42.76,0,-74.09,24.84,16.56,-6.1025
4107.52,-44.03,6.92,42.76,0,-18.555,1.883333333,1.4125
4023.26,-84.26,-44.03,6.92,42.76,-64.145,-40.45666667,-19.6525
3960.83,-62.43,-84.26,-44.03,6.92,-73.345,-63.57333333,-45.95
3944.14,-16.69,-62.43,-84.26,-44.03,-39.56,-54.46,-51.8525
3944.14,0,-16.69,-62.43,-84.26,-8.345,-26.37333333,-40.845
3938.53,-5.61,0,-16.69,-62.43,-2.805,-7.433333333,-21.1825
3927.91,-10.62,-5.61,0,-16.69,-8.115,-5.41,-8.23
3909.65,-18.26,-10.62,-5.61,0,-14.44,-11.49666667,-8.6225
3860.92,-48.73,-18.26,-10.62,-5.61,-33.495,-25.87,-20.805
3860.92,0,-48.73,-18.26,-10.62,-24.365,-22.33,-19.4025
3874.32,13.4,0,-48.73,-18.26,6.7,-11.77666667,-13.3975
3867.02,-7.3,13.4,0,-48.73,3.05,2.033333333,-10.6575
3853.09,-13.93,-7.3,13.4,0,-10.615,-2.61,-1.9575
3878.07,24.98,-13.93,-7.3,13.4,5.525,1.25,4.2875
3878.07,0,24.98,-13.93,-7.3,12.49,3.683333333,0.9375
3837.58,-40.49,0,24.98,-13.93,-20.245,-5.17,-7.36
3829.59,-7.99,-40.49,0,24.98,-24.24,-16.16,-5.875
3814.94,-14.65,-7.99,-40.49,0,-11.32,-21.04333333,-15.7825
3822.39,7.45,-14.65,-7.99,-40.49,-3.6,-5.063333333,-13.92
3832.26,9.87,7.45,-14.65,-7.99,8.66,0.89,-1.33
3828.98,-3.28,9.87,7.45,-14.65,3.295,4.68,-0.1525
3825.42,-3.56,-3.28,9.87,7.45,-3.42,1.01,2.62
3861.82,36.4,-3.56,-3.28,9.87,16.42,9.853333333,9.8575
3888.21,26.39,36.4,-3.56,-3.28,31.395,19.74333333,13.9875
3888.21,0,26.39,36.4,-3.56,13.195,20.93,14.8075
3900.38,12.17,0,26.39,36.4,6.085,12.85333333,18.74
3902.63,2.25,12.17,0,26.39,7.21,4.806666667,10.2025
3884.84,-17.79,2.25,12.17,0,-7.77,-1.123333333,-0.8425
3894.23,9.39,-17.79,2.25,12.17,-4.2,-2.05,1.505
3895.41,1.18,9.39,-17.79,2.25,5.285,-2.406666667,-1.2425
3898.62,3.21,1.18,9.39,-17.79,2.195,4.593333333,-1.0025
3899.07,0.45,3.21,1.18,9.39,1.83,1.613333333,3.5575
3899.07,0,0.45,3.21,1.18,0.225,1.22,1.21
3873.44,-25.63,0,0.45,3.21,-12.815,-8.393333333,-5.4925
3926.02,52.58,-25.63,0,0.45,13.475,8.983333333,6.85
3964.59,38.57,52.58,-25.63,0,45.575,21.84,16.38
3935.65,-28.94,38.57,52.58,-25.63,4.815,20.73666667,9.145
3910.01,-25.64,-28.94,38.57,52.58,-27.29,-5.336666667,9.1425
3924.82,14.81,-25.64,-28.94,38.57,-5.415,-13.25666667,-0.3
3937.13,12.31,14.81,-25.64,-28.94,13.56,0.493333333,-6.865
3918.23,-18.9,12.31,14.81,-25.64,-3.295,2.74,-4.355
3901.94,-16.29,-18.9,12.31,14.81,-17.595,-7.626666667,-2.0175
3938.11,36.17,-16.29,-18.9,12.31,9.94,0.326666667,3.3225
3889.58,-48.53,36.17,-16.29,-18.9,-6.18,-9.55,-11.8875
3864.97,-24.61,-48.53,36.17,-16.29,-36.57,-12.32333333,-13.315
3820.1,-44.87,-24.61,-48.53,36.17,-34.74,-39.33666667,-20.46
3815.44,-4.66,-44.87,-24.61,-48.53,-24.765,-24.71333333,-30.6675
3763.43,-52.01,-4.66,-44.87,-24.61,-28.335,-33.84666667,-31.5375
3768.8,5.37,-52.01,-4.66,-44.87,-23.32,-17.1,-24.0425
3764.23,-4.57,5.37,-52.01,-4.66,0.4,-17.07,-13.9675
3775.37,11.14,-4.57,5.37,-52.01,3.285,3.98,-10.0175
3812.13,36.76,11.14,-4.57,5.37,23.95,14.44333333,12.175
3845.22,33.09,36.76,11.14,-4.57,34.925,26.99666667,19.105
3863.05,17.83,33.09,36.76,11.14,25.46,29.22666667,24.705
3842.3,-20.75,17.83,33.09,36.76,-1.46,10.05666667,16.7325
3842.3,0,-20.75,17.83,33.09,-10.375,-0.973333333,7.5425
3842.3,0,0,-20.75,17.83,0,-6.916666667,-0.73
3865.97,23.67,0,0,-20.75,11.835,7.89,0.73
3901.51,35.54,23.67,0,0,29.605,19.73666667,14.8025
3901.51,0,35.54,23.67,0,17.77,19.73666667,14.8025
3888.02,-13.49,0,35.54,23.67,-6.745,7.35,11.43
3886.94,-1.08,-13.49,0,35.54,-7.285,-4.856666667,5.2425
3894.37,7.43,-1.08,-13.49,0,3.175,-2.38,-1.785
3880.59,-13.78,7.43,-1.08,-13.49,-3.175,-2.476666667,-5.23
3884.64,4.05,-13.78,7.43,-1.08,-4.865,-0.766666667,-0.845
3899.39,14.75,4.05,-13.78,7.43,9.4,1.673333333,3.1125
3908.02,8.63,14.75,4.05,-13.78,11.69,9.143333333,3.4125
3919.86,11.84,8.63,14.75,4.05,10.235,11.74,9.8175
3907.81,-12.05,11.84,8.63,14.75,-0.105,2.806666667,5.7925
3905.45,-2.36,-12.05,11.84,8.63,-7.205,-0.856666667,1.515
3920.79,15.34,-2.36,-12.05,11.84,6.49,0.31,3.1925
3932.55,11.76,15.34,-2.36,-12.05,13.55,8.246666667,3.1725
3945.32,12.77,11.76,15.34,-2.36,12.265,13.29,9.3775
3948.67,3.35,12.77,11.76,15.34,8.06,9.293333333,10.805
3934.82,-13.85,3.35,12.77,11.76,-5.25,0.756666667,3.5075
3931.31,-3.51,-13.85,3.35,12.77,-8.68,-4.67,-0.31
3933.56,2.25,-3.51,-13.85,3.35,-0.63,-5.036666667,-2.94
3935.59,2.03,2.25,-3.51,-13.85,2.14,0.256666667,-3.27
3963.08,27.49,2.03,2.25,-3.51,14.76,10.59,7.065
3949.36,-13.72,27.49,2.03,2.25,6.885,5.266666667,4.5125
3935.64,-13.72,-13.72,27.49,2.03,-13.72,0.016666667,0.52
